symbol,security,sector,sub_industry
BRK-B,Berkshire Hathaway B,Financials,Multi-Sector Holdings
BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail
BIO,Bio-Rad Laboratories,Health Care,Life Sciences Tools & Services
BIIB,Biogen Inc.,Health Care,Biotechnology
BLK,BlackRock Inc.,Financials,Asset Management & Custody Banks
BK,Bank of New York Mellon,Financials,Diversified Banks
BA,Boeing Company,Industrials,Aerospace & Defense
BKNG,Booking Holdings Inc.,Consumer Discretionary,Hotels Resorts & Cruise Lines
BWA,BorgWarner,Consumer Discretionary,Automotive Parts & Equipment
BSX,Boston Scientific,Health Care,Health Care Equipment
BMY,Bristol-Myers Squibb,Health Care,Pharmaceuticals
AVGO,Broadcom Inc.,Information Technology,Semiconductors
BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services
BRO,Brown & Brown,Financials,Insurance Brokers
BF-B,Brown-Forman Corporation,Consumer Staples,Distillers & Vintners
BLDR,Builders FirstSource Inc.,Industrials,Building Products
BG,Bunge Global SA,Consumer Staples,Agricultural Products & Services
CDNS,Cadence Design Systems,Information Technology,Electronic Design Automation
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming
CPT,Camden Property Trust,Real Estate,Residential REITs
CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats
COF,Capital One Financial,Financials,Consumer Finance
CAH,Cardinal Health Inc.,Health Care,Health Care Distributors
KMX,CarMax Inc,Consumer Discretionary,Specialty Retail
CCL,Carnival Corp.,Consumer Discretionary,Hotels Resorts & Cruise Lines
CARR,Carrier Global,Industrials,Building Products
CTLT,Catalent Inc,Health Care,Pharmaceutical & Life Sciences CDMO
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data
CBRE,CBRE Group,Real Estate,Real Estate Services
CDW,CDW Corp.,Information Technology,Technology Distributors
CE,Celanese Corporation,Materials,Commodity Chemicals
CF,CF Industries Holdings,Materials,Fertilizers & Agricultural Chemicals
CNC,Centene Corporation,Health Care,Managed Health Care
CNP,CenterPoint Energy,Utilities,Multi-Utilities
CHTR,Charter Communications,Communication Services,Cable & Satellite
CVX,Chevron Corporation,Energy,Integrated Oil & Gas
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants
CB,Chubb Limited,Financials,Property & Casualty Insurance
CHD,Church & Dwight,Consumer Staples,Household Products
CI,Cigna Group,Health Care,Managed Health Care
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance
CTAS,Cintas Corporation,Industrials,Diversified Support Services
CSCO,Cisco Systems,Information Technology,Communications Equipment
C,Citigroup Inc.,Financials,Diversified Banks
CFG,Citizens Financial Group,Financials,Regional Banks
CLX,Clorox Company,Consumer Staples,Household Products
CME,CME Group Inc.,Financials,Financial Exchanges & Data
CMS,CMS Energy,Utilities,Multi-Utilities
KO,Coca-Cola Company,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services
CL,Colgate-Palmolive,Consumer Staples,Personal Care Products
CMCSA,Comcast Corp.,Communication Services,Cable & Satellite
CMA,Comerica Incorporated,Financials,Regional Banks
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production
ED,Consolidated Edison,Utilities,Electric Utilities
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners
CEG,Constellation Energy,Utilities,Independent Power Producers & Energy Traders
COO,Cooper Companies,Health Care,Health Care Supplies
CPRT,Copart Inc,Industrials,Diversified Support Services
GLW,Corning Inc.,Information Technology,Electronic Components
CPAY,Corpay Inc.,Information Technology,Transaction & Payment Processing Services
CTVA,Corteva Inc.,Materials,Fertilizers & Agricultural Chemicals
CSGP,CoStar Group Inc.,Real Estate,Real Estate Services
COST,Costco Wholesale,Consumer Staples,Consumer Staples Merchandise Retail
CTRA,Coterra Energy,Energy,Oil & Gas Exploration & Production
CRWD,CrowdStrike Holdings,Information Technology,Systems Software
CCI,Crown Castle Inc.,Real Estate,Telecom Tower REITs
CSX,CSX Corporation,Industrials,Rail Transportation
CMI,Cummins Inc.,Industrials,Industrial Machinery & Supplies & Components
CVS,CVS Health,Health Care,Health Care Services
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services
DRI,Darden Restaurants,Consumer Discretionary,Restaurants
DVA,DaVita Inc.,Health Care,Health Care Facilities
DAY,Dayforce Inc,Information Technology,Application Software
DE,Deere & Company,Industrials,Agricultural & Farm Machinery
DAL,Delta Air Lines Inc.,Industrials,Airlines
XRAY,Dentsply Sirona,Health Care,Health Care Supplies
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production
DXCM,Dexcom Inc,Health Care,Health Care Equipment
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production
DLR,Digital Realty Trust,Real Estate,Data Center REITs
DFS,Discover Financial Services,Financials,Consumer Finance
DG,Dollar General,Consumer Discretionary,Discount Stores
DLTR,Dollar Tree,Consumer Discretionary,Discount Stores
D,Dominion Energy Inc,Utilities,Electric Utilities
DPZ,Domino's Pizza,Consumer Discretionary,Restaurants
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components
DOW,Dow Inc.,Materials,Commodity Chemicals
DHI,D.R. Horton,Consumer Discretionary,Homebuilding
DTE,DTE Energy Co.,Utilities,Multi-Utilities
DUK,Duke Energy,Utilities,Electric Utilities
DD,DuPont de Nemours,Materials,Specialty Chemicals
DXC,DXC Technology,Information Technology,IT Consulting & Other Services
EMN,Eastman Chemical,Materials,Specialty Chemicals
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment
EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail
ECL,Ecolab Inc.,Materials,Specialty Chemicals
EIX,Edison International,Utilities,Electric Utilities
EW,Edwards Lifesciences,Health Care,Health Care Equipment
EA,Electronic Arts,Communication Services,Interactive Home Entertainment
ELV,Elevance Health,Health Care,Managed Health Care
LLY,Eli Lilly and Company,Health Care,Pharmaceuticals
EMR,Emerson Electric Co.,Industrials,Electrical Components & Equipment
ENPH,Enphase Energy,Information Technology,Semiconductor Equipment
ETR,Entergy Corporation,Utilities,Electric Utilities
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production
EFX,Equifax Inc.,Industrials,Research & Consulting Services
EQIX,Equinix Inc.,Real Estate,Data Center REITs
EQR,Equity Residential,Real Estate,Residential REITs
ESS,Essex Property Trust,Real Estate,Residential REITs
EL,Estee Lauder Companies,Consumer Staples,Personal Care Products
ETSY,Etsy Inc,Consumer Discretionary,Internet & Direct Marketing Retail
EG,Everest Group Ltd.,Financials,Property & Casualty Insurance
EVRG,Evergy Inc,Utilities,Electric Utilities
ES,Eversource Energy,Utilities,Multi-Utilities
EXC,Exelon Corporation,Utilities,Electric Utilities
EXPE,Expedia Group Inc.,Consumer Discretionary,Hotels Resorts & Cruise Lines
EXPD,Expeditors International,Industrials,Air Freight & Logistics
EXR,Extra Space Storage,Real Estate,Self-Storage REITs
XOM,Exxon Mobil Corporation,Energy,Integrated Oil & Gas
FFIV,F5 Inc.,Information Technology,Communications Equipment
FDS,FactSet Research Systems,Financials,Financial Exchanges & Data
FICO,Fair Isaac Corporation,Information Technology,Application Software
FAST,Fastenal Company,Industrials,Building Products
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs
FDX,FedEx Corporation,Industrials,Air Freight & Logistics
FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services
FITB,Fifth Third Bancorp,Financials,Regional Banks
FSLR,First Solar Inc,Information Technology,Semiconductor Equipment
FE,FirstEnergy Corp,Utilities,Electric Utilities
FI,Fiserv Inc,Financials,Transaction & Payment Processing Services
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers
FTNT,Fortinet Inc,Information Technology,Systems Software
FTV,Fortive Corp,Industrials,Industrial Machinery & Supplies & Components
FOXA,Fox Corp. Class A,Communication Services,Broadcasting
FOX,Fox Corp. Class B,Communication Services,Broadcasting
BEN,Franklin Resources,Financials,Asset Management & Custody Banks
FCX,Freeport-McMoRan,Materials,Copper
GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics
IT,Gartner Inc.,Information Technology,IT Consulting & Other Services
GE,GE Aerospace,Industrials,Aerospace & Defense
GEHC,GE HealthCare Technologies,Health Care,Health Care Equipment
GEN,Gen Digital Inc.,Information Technology,Systems Software
GNRC,Generac Holdings,Industrials,Electrical Components & Equipment
GD,General Dynamics,Industrials,Aerospace & Defense
GIS,General Mills,Consumer Staples,Packaged Foods & Meats
GM,General Motors,Consumer Discretionary,Automobile Manufacturers
GPC,Genuine Parts Company,Consumer Discretionary,Specialty Stores
GEV,GE Vernova,Utilities,Independent Power Producers & Energy Traders
GILD,Gilead Sciences,Health Care,Biotechnology
GPN,Global Payments Inc,Financials,Transaction & Payment Processing Services
GL,Globe Life Inc.,Financials,Life & Health Insurance
GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage
HAL,Halliburton Company,Energy,Oil & Gas Equipment & Services
HIG,Hartford Financial Services,Financials,Property & Casualty Insurance
HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products
HCA,HCA Healthcare,Health Care,Health Care Facilities
DOC,Healthpeak Properties,Real Estate,Health Care REITs
HSIC,Henry Schein Inc,Health Care,Health Care Distributors
HSY,Hershey Company,Consumer Staples,Packaged Foods & Meats
HES,Hess Corporation,Energy,Integrated Oil & Gas
HPE,Hewlett Packard Enterprise,Information Technology,Technology Hardware Storage & Peripherals
HLT,Hilton Worldwide Holdings,Consumer Discretionary,Hotels Resorts & Cruise Lines
HOLX,Hologic Inc.,Health Care,Health Care Equipment
HD,Home Depot Inc.,Consumer Discretionary,Home Improvement Retail
HON,Honeywell International,Industrials,Industrial Conglomerates
HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs
HWM,Howmet Aerospace,Industrials,Aerospace & Defense
HPQ,HP Inc.,Information Technology,Technology Hardware Storage & Peripherals
HUBB,Hubbell Inc,Industrials,Electrical Components & Equipment
HUM,Humana Inc.,Health Care,Managed Health Care
HBAN,Huntington Bancshares,Financials,Regional Banks
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense
IBM,International Business Machines,Information Technology,IT Consulting & Other Services
IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components
IDXX,IDEXX Laboratories,Health Care,Health Care Equipment
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components
INCY,Incyte Corporation,Health Care,Biotechnology
IR,Ingersoll Rand Inc,Industrials,Industrial Machinery & Supplies & Components
PODD,Insulet Corporation,Health Care,Health Care Equipment
INTC,Intel Corporation,Information Technology,Semiconductors
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals
IP,International Paper,Materials,Forest Products
IPG,Interpublic Group,Communication Services,Advertising
INTU,Intuit Inc.,Information Technology,Application Software
ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment
IVZ,Invesco Ltd.,Financials,Asset Management & Custody Banks
INVH,Invitation Homes Inc,Real Estate,Residential REITs
IQV,IQVIA Holdings Inc,Health Care,Life Sciences Tools & Services
IRM,Iron Mountain Inc,Real Estate,Storage REITs
JBHT,J. B. Hunt Transport Services,Industrials,Cargo Ground Transportation
JBL,Jabil Inc.,Information Technology,Electronic Manufacturing Services
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services
J,Jacobs Solutions Inc.,Industrials,Research & Consulting Services
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals
JCI,Johnson Controls International,Industrials,Building Products
JPM,JPMorgan Chase & Co.,Financials,Diversified Banks
JNPR,Juniper Networks,Information Technology,Communications Equipment
K,Kellanova,Consumer Staples,Packaged Foods & Meats
KVUE,Kenvue Inc,Consumer Staples,Personal Care Products
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
KEY,KeyCorp,Financials,Regional Banks
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments
KMB,Kimberly-Clark,Consumer Staples,Household Products
KIM,Kimco Realty,Real Estate,Retail REITs
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment
KHC,Kraft Heinz Co,Consumer Staples,Packaged Foods & Meats
KR,Kroger Co.,Consumer Staples,Consumer Staples Merchandise Retail
LHX,L3Harris Technologies,Industrials,Aerospace & Defense
LH,Laboratory Corp. of America,Health Care,Health Care Services
LRCX,Lam Research Corp.,Information Technology,Semiconductor Materials & Equipment
LW,Lamb Weston Holdings,Consumer Staples,Packaged Foods & Meats
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming
LDOS,Leidos Holdings,Information Technology,IT Consulting & Other Services
LEN,Lennar Corporation,Consumer Discretionary,Homebuilding
LNC,Lincoln National,Financials,Life & Health Insurance
LIN,Linde plc,Materials,Industrial Gases
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment
LKQ,LKQ Corporation,Consumer Discretionary,Specialty Stores
LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense
L,Loews Corporation,Financials,Multi-Sector Holdings
LOW,Lowe's Companies,Consumer Discretionary,Home Improvement Retail
LULU,Lululemon Athletica,Consumer Discretionary,Apparel Retail
LYB,LyondellBasell Industries,Materials,Commodity Chemicals
MTB,M&T Bank Corp.,Financials,Regional Banks
MRO,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing
MKTX,MarketAxess Holdings,Financials,Financial Exchanges & Data
MAR,Marriott International,Consumer Discretionary,Hotels Resorts & Cruise Lines
MMC,Marsh McLennan,Financials,Insurance Brokers
MLM,Martin Marietta Materials,Materials,Construction Materials
MAS,Masco Corporation,Industrials,Building Products
MA,Mastercard Inc.,Financials,Transaction & Payment Processing Services
MTCH,Match Group Inc,Communication Services,Interactive Media & Services
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats
MCD,McDonald's Corp.,Consumer Discretionary,Restaurants
MCK,McKesson Corporation,Health Care,Health Care Distributors
MDT,Medtronic plc.,Health Care,Health Care Equipment
MET,MetLife Inc.,Financials,Life & Health Insurance
META,Meta Platforms Inc.,Communication Services,Interactive Media & Services
MTD,Mettler-Toledo International,Health Care,Life Sciences Tools & Services
MGM,MGM Resorts International,Consumer Discretionary,Casinos & Gaming
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings
MOH,Molina Healthcare,Health Care,Managed Health Care
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats
MPWR,Monolithic Power Systems,Information Technology,Semiconductors
MNST,Monster Beverage Corporation,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
MCO,Moody's Corporation,Financials,Financial Exchanges & Data
MS,Morgan Stanley,Financials,Investment Banking & Brokerage
MOS,Mosaic Company,Materials,Fertilizers & Agricultural Chemicals
MSI,Motorola Solutions Inc.,Information Technology,Communications Equipment
MSFT,Microsoft Corporation,Information Technology,Systems Software
MU,Micron Technology,Information Technology,Semiconductors
NDAQ,Nasdaq Inc.,Financials,Financial Exchanges & Data
NTAP,NetApp Inc.,Information Technology,Technology Hardware Storage & Peripherals
NFLX,Netflix Inc.,Communication Services,Movies & Entertainment
NEM,Newmont Corporation,Materials,Gold
NI,NiSource Inc,Utilities,Multi-Utilities
NKTR,Nektar Therapeutics,Health Care,Biotechnology
NOC,Northrop Grumman,Industrials,Aerospace & Defense
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,Hotels Resorts & Cruise Lines
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders
NUE,Nucor Corporation,Materials,Steel
NVDA,NVIDIA Corporation,Information Technology,Semiconductors
NVR,NVR Inc.,Consumer Discretionary,Homebuilding
NXPI,NXP Semiconductors,Information Technology,Semiconductors
ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production
ODFL,Old Dominion Freight Line,Industrials,Cargo Ground Transportation
OMC,Omnicom Group Inc.,Communication Services,Advertising
ON,ON Semiconductor,Information Technology,Semiconductors
OKE,ONEOK Inc.,Energy,Oil & Gas Storage & Transportation
ORCL,Oracle Corporation,Information Technology,Application Software
OGN,Organon & Co.,Health Care,Pharmaceuticals
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components
OC,Owens Corning,Industrials,Building Products
PCAR,PACCAR Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment
PKG,Packaging Corp. of America,Materials,Paper & Plastic Packaging Products & Materials
PANW,Palo Alto Networks,Information Technology,Systems Software
PARA,Paramount Global,Communication Services,Broadcasting
PH,Parker-Hannifin Corp.,Industrials,Industrial Machinery & Supplies & Components
PAYX,Paychex Inc.,Information Technology,Data Processing & Outsourced Services
PAYC,Paycom Software,Information Technology,Application Software
PYPL,PayPal Holdings Inc.,Financials,Transaction & Payment Processing Services
PNR,Pentair plc.,Industrials,Industrial Machinery & Supplies & Components
PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
PFE,Pfizer Inc.,Health Care,Pharmaceuticals
PCG,PG&E Corporation,Utilities,Multi-Utilities
PM,Philip Morris International,Consumer Staples,Tobacco
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing
PNW,Pinnacle West Capital,Utilities,Electric Utilities
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production
PNC,PNC Financial Services,Financials,Regional Banks
POOL,Pool Corporation,Consumer Discretionary,Distributors
PPG,PPG Industries,Materials,Specialty Chemicals
PPL,PPL Corporation,Utilities,Electric Utilities
PFG,Principal Financial Group,Financials,Life & Health Insurance
PG,Procter & Gamble Company,Consumer Staples,Household Products
PGR,Progressive Corporation,Financials,Property & Casualty Insurance
PLD,Prologis Inc.,Real Estate,Industrial REITs
PRU,Prudential Financial,Financials,Life & Health Insurance
PEG,Public Service Enterprise Group,Utilities,Multi-Utilities
PSA,Public Storage,Real Estate,Self-Storage REITs
PHM,PulteGroup,Consumer Discretionary,Homebuilding
QRVO,Qorvo Inc,Information Technology,Semiconductors
PWR,Quanta Services Inc.,Industrials,Heavy Electrical Equipment
QCOM,Qualcomm Inc.,Information Technology,Semiconductors
DGX,Quest Diagnostics,Health Care,Health Care Services
RL,Ralph Lauren Corp.,Consumer Discretionary,Apparel Accessories & Luxury Goods
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage
RTX,RTX Corporation,Industrials,Aerospace & Defense
O,Realty Income Corporation,Real Estate,Retail REITs
REG,Regency Centers Corporation,Real Estate,Retail REITs
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology
RF,Regions Financial Corp.,Financials,Regional Banks
RSG,Republic Services Inc,Industrials,Environmental & Facilities Services
RMD,ResMed Inc.,Health Care,Health Care Equipment
RVTY,Revvity Inc,Health Care,Life Sciences Tools & Services
ROK,Rockwell Automation Inc.,Industrials,Electrical Components & Equipment
ROL,Rollins Inc.,Industrials,Environmental & Facilities Services
ROP,Roper Technologies,Industrials,Industrial Conglomerates
ROST,Ross Stores,Consumer Discretionary,Apparel Retail
RCL,Royal Caribbean Cruises,Consumer Discretionary,Hotels Resorts & Cruise Lines
SPGI,S&P Global Inc.,Financials,Financial Exchanges & Data
CRM,Salesforce Inc.,Information Technology,Application Software
SBAC,SBA Communications,Real Estate,Telecom Tower REITs
SLB,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services
STX,Seagate Technology Holdings,Information Technology,Technology Hardware Storage & Peripherals
SRE,Sempra,Utilities,Multi-Utilities
NOW,ServiceNow Inc.,Information Technology,Systems Software
SHW,Sherwin-Williams Company,Materials,Specialty Chemicals
SPG,Simon Property Group Inc,Real Estate,Retail REITs
SWKS,Skyworks Solutions,Information Technology,Semiconductors
SJM,Smucker (J.M.) Company,Consumer Staples,Packaged Foods & Meats
SNA,Snap-on Incorporated,Industrials,Industrial Machinery & Supplies & Components
SOLV,Solventum,Health Care,Health Care Equipment
SO,Southern Company,Utilities,Electric Utilities
LUV,Southwest Airlines,Industrials,Airlines
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components
SBUX,Starbucks Corp.,Consumer Discretionary,Restaurants
STT,State Street Corp.,Financials,Asset Management & Custody Banks
STLD,Steel Dynamics,Materials,Steel
STE,STERIS plc,Health Care,Health Care Equipment
SYK,Stryker Corporation,Health Care,Health Care Equipment
SMCI,Super Micro Computer,Information Technology,Technology Hardware Storage & Peripherals
SYF,Synchrony Financial,Financials,Consumer Finance
SNPS,Synopsys Inc.,Information Technology,Electronic Design Automation
SYY,Sysco Corporation,Consumer Staples,Food Distributors
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services
TROW,T. Rowe Price Group,Financials,Asset Management & Custody Banks
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment
TPR,Tapestry Inc.,Consumer Discretionary,Apparel Accessories & Luxury Goods
TRGP,Targa Resources Corp,Energy,Oil & Gas Storage & Transportation
TGT,Target Corp.,Consumer Discretionary,Discount Stores
TEL,TE Connectivity Ltd.,Information Technology,Electronic Components
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments
TFX,Teleflex Inc.,Health Care,Health Care Equipment
TER,Teradyne Inc.,Information Technology,Semiconductor Materials & Equipment
TSLA,Tesla Inc.,Consumer Discretionary,Automobile Manufacturers
TXN,Texas Instruments,Information Technology,Semiconductors
TXT,Textron Inc.,Industrials,Aerospace & Defense
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services
TJX,TJX Companies Inc.,Consumer Discretionary,Apparel Retail
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Stores
TT,Trane Technologies,Industrials,Building Products
TDG,TransDigm Group,Industrials,Aerospace & Defense
TRV,Travelers Companies,Financials,Property & Casualty Insurance
TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments
TFC,Truist Financial Corp,Financials,Diversified Banks
TYL,Tyler Technologies,Information Technology,Application Software
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats
USB,U.S. Bancorp,Financials,Diversified Banks
UDR,UDR Inc,Real Estate,Residential REITs
ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores
UNP,Union Pacific Corporation,Industrials,Rail Transportation
UAL,United Airlines Holdings,Industrials,Airlines
UPS,United Parcel Service,Industrials,Air Freight & Logistics
URI,United Rentals,Industrials,Diversified Rental & Leasing
UNH,UnitedHealth Group Inc.,Health Care,Managed Health Care
UHS,Universal Health Services,Health Care,Health Care Facilities
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing
VTR,Ventas Inc,Real Estate,Health Care REITs
VRSN,VeriSign Inc.,Information Technology,Internet Services & Infrastructure
VRSK,Verisk Analytics,Industrials,Research & Consulting Services
VZ,Verizon Communications,Communication Services,Integrated Telecommunication Services
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology
VFC,V.F. Corporation,Consumer Discretionary,Apparel Accessories & Luxury Goods
VTRS,Viatris Inc.,Health Care,Pharmaceuticals
VICI,VICI Properties,Real Estate,Hotel & Resort REITs
V,Visa Inc.,Financials,Transaction & Payment Processing Services
VST,Vistra Corporation,Utilities,Independent Power Producers & Energy Traders
VMC,Vulcan Materials Company,Materials,Construction Materials
WAB,Wabtec Corporation,Industrials,Construction Machinery & Heavy Transportation Equipment
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail
WMT,Walmart Inc.,Consumer Staples,Consumer Staples Merchandise Retail
DIS,Walt Disney Company,Communication Services,Movies & Entertainment
WBD,Warner Bros. Discovery,Communication Services,Broadcasting
WRK,WestRock Company,Materials,Paper & Plastic Packaging Products & Materials
WEC,WEC Energy Group,Utilities,Electric Utilities
WFC,Wells Fargo & Co.,Financials,Diversified Banks
WELL,Welltower Inc,Real Estate,Health Care REITs
WST,West Pharmaceutical Services,Health Care,Health Care Supplies
WDC,Western Digital,Information Technology,Technology Hardware Storage & Peripherals
